AAGE,ACLSWKR,ADTIND,ADTOCC,AHGA,AHRSPAY,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,CAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,YEAR
57, Self-employed-incorporated,11,2, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,500, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
44, Private,3,38, High school graduate,0, Not in universe, Married-civilian spouse present, Mining, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,48,94
54, Private,19,26, High school graduate,1550, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, All other, Male, Yes, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
25, Private,33,2, 9th grade,0, Not in universe, Never married, Retail trade, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,13550,0,200, Single, Not in universe, Not in universe, Other Rel 18+ never marr not in subfamily, Other relative of householder, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95
26, Private,11,5, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,100, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
44, Private,42,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Medical except hospital, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,40,94
64, Self-employed-incorporated,34,2, Doctorate degree(PhD EdD),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Full-time schedules,99999,0,2500, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,3, Not in universe, South Korea, South Korea, South Korea, Foreign born- U S citizen by naturalization,1, Not in universe,2,52,95
44, Self-employed-not incorporated,4,2, 12th grade no diploma,0, Not in universe, Married-civilian spouse present, Construction, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, South, Alabama, Householder, Householder, NonMSA to nonMSA, Different county same state, Different county same state, No, Yes,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
31, Self-employed-incorporated,37,2, Some college but no degree,0, Not in universe, Never married, Business and repair services, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules,27828,0,200, Single, Not in universe, Not in universe, Nonfamily householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
31, Private,35,16, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Sales, White, All other, Female, No, Not in universe, Full-time schedules,0,0,10000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, Scotland, United-States, Native- Born in the United States,0, Not in universe,2,52,95
30, Local government,47,28, Some college but no degree,0, Not in universe, Married-civilian spouse present, Public administration, Protective services, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,15024,0,100, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, Dominican-Republic, Dominican-Republic, United-States, Native- Born in the United States,2, Not in universe,2,52,94
43, Private,44,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Social services, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,1000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
34, Self-employed-incorporated,39,2, High school graduate,0, Not in universe, Married-civilian spouse present, Personal services except private HH, Executive admin and managerial, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,15, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,3, Not in universe, ?, India, ?, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95
51, Private,45,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,4631, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
27, Private,45,12, Bachelors degree(BA AB BS),0, Not in universe, Never married, Other professional services, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Secondary individual, Nonrelative of householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
60, Local government,42,7, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Medical except hospital, Professional specialty, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, South, District of Columbia, Spouse of householder, Spouse of householder, MSA to MSA, Same county, Same county, No, No,6, Not in universe, ?, ?, ?, Foreign born- U S citizen by naturalization,0, Not in universe,2,48,94
50, Private,11,15, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Technicians and related support, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,50,95
52, Private,32,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Wholesale trade, Executive admin and managerial, White, Cuban, Male, Not in universe, Not in universe, Children or Armed Forces,99999,0,15000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, Cuba, Cuba, Cuba, Foreign born- U S citizen by naturalization,0, Not in universe,2,52,94
39, Private,45,11, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Divorced, Other professional services, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, South, District of Columbia, Secondary individual, Nonrelative of householder, MSA to MSA, Same county, Same county, No, No,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
32, Private,31,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Utilities and sanitary services, Executive admin and managerial, White, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, South, Utah, Householder, Householder, MSA to MSA, Different region, Different state in South, No, Yes,6, Not in universe, United-States, France, United-States, Native- Born in the United States,0, Not in universe,2,52,94
69, Self-employed-incorporated,33,16, High school graduate,0, Not in universe, Widowed, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,18481,0,28000, Single, Not in universe, Not in universe, Nonfamily householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
46, Private,15,4, Some college but no degree,2900, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
42, Private,34,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,94
41, State government,47,11, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Widowed, Public administration, Professional specialty, Other, Mexican (Mexicano), Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, Mexico, Mexico, United-States, Native- Born in the United States,0, Not in universe,2,52,94
44, Private,34,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
37, Private,11,2, High school graduate,0, Not in universe, Never married, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, No, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95
36, Private,29,38, Associates degree-occup /vocational,0, Not in universe, Married-civilian spouse present, Transportation, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
33, Private,29,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Transportation, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, PT for econ reasons usually PT,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, ?, England, England, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95
